gid,code,ward,name,feature,fature_det,speciality,theme,type,address,phone,photo,the_geom
426,00-00-03-52-01,5,JAYALAKSHMI MEDICALS,SHOP,OPP. GANDHI STATUE,MEDICAL SHOP,HEALTH,PRIVATE,"DEVICHOUK, RAJAHMUNDRY.",,,0104000020E61000000100000001010000003F548721085D6141AD08FDFD18543D41
427,00-00-03-51,4,"SRI NANDAM HEMASUNDARARAO MEMORIAL, LIONS CLUB, RAJAHMUNDRY.",SCHOOL,,T M PRIMARY SCHOOL,EDUCATION,PRIVATE,"RAJENDRANAGAR, RAJAHMUNDRY.",,,0104000020E61000000100000001010000002C83023D905D61414F0F28D29B543D41
428,00-00-03-52-01,29,SRI BHASKAR AYURVEDIC NILAYAM,SHOP,AYURVEDIC MEDICAL SHOP,MEDICAL SHOP,HEALTH,PRIVATE,"OPP. URVASI COMPLEX, RAJAHMUNDRY.",9652532801,,0104000020E610000001000000010100000068AF59A1F05C6141BBC95E24AF4F3D41
429,00-00-03-23,14,STATE BANK OF HYDERABAD,BANK,M.G.W.C.MARKET BRANCH,BANK,FACILITY,GOVERNMENT,"TADITHOTA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000FD9CB110485D614151D75F7CBD4F3D41
430,00-00-03-05,29,DANGETI NARAYANASWAMY MEMORIAL METARNITY & GENERAL HOSPITAL,HOSPITAL,,MATERNITY HOSPITAL,HEALTH,PRIVATE,"OPP.BHARAT BOMMALU, MANGALAVARAPU PETA, RAJAHMUNDY.",,,0104000020E610000001000000010100000003ED9018F65C6141D1D2C1B1DC4F3D41
431,00-00-02-04,2,MOSQUE,MOSQUE,,MOSQUE,RELIGIOUS,PRIVATE,"NEHRU NAGAR,OPP. ARTS COLLEGE, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000C21C2A878B5D6141B764E6E23F563D41
432,00-00-03-51,2,AKSHA VIDYANIKETAN,SCHOOL,,E M PRIMARY SCHOOL,EDUCATION,PRIVATE,"NARAYANAPURAM, RAJAHMUNDRY.",9177078399,,0104000020E61000000100000001010000009E9290182D5E61413FFB3A5AF7573D41
433,00-00-03-43,2,RYTU BAZAR,MARKET,,VEGETABLE MARKET,SHOP,GOVERNMENT,"NEHRU NAGAR,OPP. ARTS COLLEGE, RAJAHMUNDRY.",,,0104000020E61000000100000001010000004050824F855D61411CAA7F681D563D41
434,00-00-03-57,4,ANGANWADI KENDRAM,WOMEN & CHILD WELFARE,CODE: 27,I.C.D.S.PROJECT,EDUCATION,GOVERNMENT,"#59-6-1, RAJENDRANAGAR-II, RAJAHMUNDRY.",,,0104000020E61000000100000001010000008E5822D9C75D6141736ECD9406543D41
435,00-00-03-51,2,NIVEDITA KISHORE VIHAR E.M AIDED PRIMARY & HIGH SCHOOL,SCHOOL,,E M PRIMARY & HIGH SCHOOL,EDUCATION,AIDED,"ADDEPALLI COLONY, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000A8842BDFDC5D6141C3107AFBD1533D41
436,00-00-03-52-02,2,PRABHUTVA CHOWKA DHARALA DUKANAM,SHOP,SHOP NO: 12,RATION SHOP,SHOP,GOVERNMENT,"OPP. VAMBY COLONY, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000A96F9C5A3C5E6141C4FEF9A483573D41
437,00-00-03-57,2,ANGANWADI KENDRAM,WOMEN & CHILD WELFARE,CODE: 43,I.C.D.S.PROJECT,EDUCATION,GOVERNMENT,"#73-6-4, GOPALNAGAR-II, RAJAHMUNDRY.",,,0104000020E61000000100000001010000000806ED51235E6141448F4CB56E583D41
438,00-00-02-02,2,PRAVACHANA DEVUNI SAMGHAM,CHURCH,,CHURCH,RELIGIOUS,PRIVATE,"GOPALNAGAR PUNTA, RAJAHMUNDRY.",,,0104000020E610000001000000010100000035B155460B5E61417A0A87BB6E583D41
476,00-00-02-05,11,RAMALAYAM,TEMPLE,,RAMA TEMPLE,RELIGIOUS,PRIVATE,"RAMALAYAM CENTRE, RAJAHMUNDRY",,,0104000020E61000000100000001010000004E72757AD75D614140986395D1523D41
439,00-00-03-09,5,ASSISTANT ENGINEER (APEPDCL) 33/11 ELECTRIC SUBSTATION,OFFICE,OPERATION AND DISTRIBUTION,ELECTRICITY,,GOVERNMENT,"Y-JUNCTION, JAYAKRISHNAPURAM, RAJAHMUNDRY",,,0104000020E6100000010000000101000000618127005A5D6141D73046D459553D41
440,00-00-03-09,19,THE RAILWAY EMPLOYEES CO-OPERATIVE CREDIT SOCIETY LTD (MRB),OFFICE,RAJAHMUNDRY BRANCH,RAILWY EMPLOYEE'S OFFICE,SOCIAL ORGANIZATION,PRIVATE,"#4-6-16, ALCOT GARDENS, RAJAHMUNDRY.",0883-2441169,,0104000020E610000001000000010100000064F758634C5D61414D4504DDBF483D41
441,00-00-03-49,20,UDUPI AKSHAYA VEG RESTAURANT,RESTAURANT,,RESTAURANT,HOSPITALITY,PRIVATE,"T NAGAR, RAJAHMUNDRY.",,,0104000020E61000000100000001010000005EA34B0BE65C61416F883C1FCD4B3D41
442,00-00-03-51,20,GNANALAHARI E M SCHOOL,SCHOOL,,E M SCHOOL,EDUCATION,PRIVATE,"#6-16-10, BHUSHAN EDIFICE, T NAGAR, RAJAHMUNDRY.","0883-2420754, 9849981468",,0104000020E6100000010000000101000000A4DEB331EB5C6141CFF50257E84B3D41
443,00-00-03-51,16,ST.ANN'S SCHOOL,SCHOOL,,E M HIGH SCHOOL,EDUCATION,PRIVATE,"I.L.T.D.JUNCTION, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000EE829F47B95D6141D7CD230749423D41
444,00-00-03-31,4,COMMUNITY HALL,COMMUNITY HALL,MUNCIPAL CORPORATION OF RAJAHMUNDRY,COMMUNITY HALL,ENTERTAINMENT,GOVERNMENT,"RAJENDRANAGAR, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000EE306776BB5D6141E4A4E8106E543D41
445,00-00-03-52-03,19,SRI KESH WINES,SHOP,,WINE SHOP,SHOP,PRIVATE,"OPP. RAILWAY STATION, ALCOT GARDENS, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000A5A5FABD565D61419BA72CA6D8473D41
446,00-00-03-09,2,ASSISTANT DIRECTOR OF AGRICULTURE OILPALM SEED GARDENT,OFFICE,DEPARTMENT OF HORTICULTURE,AGRICULTURE OFFICE,,GOVERNMENT,"NARAYANAPURAM, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000B7E13945915D614157D2AF2135563D41
447,00-00-03-22,9,AXIS BANK ATM,ATM,,AXIS ATM,FACILITY,GOVERNMENT,"JNROAD -TILAK ROAD JUNCTION, RAJAHMUNDRY.",,,0104000020E61000000100000001010000004C74674BFC5D614133C13A09B0523D41
448,00-00-03-30,5,GOVERNMENT COLLEGE (AUTONOMUS),COLLEGE,,DEGREE COLLEGE,EDUCATION,GOVERNMENT,"Y-JUNCTION, JAYAKRISHNAPURAM, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000F52D7DA5605D61414CD66F11BC563D41
449,00-00-03-51,5,SCHADE E.M. AIDED HIGH SCHOOL,SCHOOL,,HIGH SCHOOL,EDUCATION,AIDED,"JAYAKRISHNAPURAM, RAJAHMUNDRY.",,,0104000020E610000001000000010100000050BF7E113E5D6141035E171BF9543D41
450,00-00-03-38,5,AKNU BOYS HOSTEL,HOSTEL,ADIKAVI NANNAYA UNIVERSITY,BOY'S HOSTEL,RESIDENTIAL AREA,GOVERNMENT,"Y-JUNCTION, GANDHIPURAM-1, RAJAHMUNDRY.",,,0104000020E610000001000000010100000070A7D626605D61419F2420A473543D41
451,00-00-03-35,2,PANCHAYTI GUEST HOUSE,GUEST HOUSE,,GUEST HOUSE,HOSPITALITY,GOVERNMENT,"NARAYANAPURAM, RAJAHMUNDRY.",,,0104000020E610000001000000010100000032EA5F258F5D61416435CF6026563D41
452,00-00-03-52,5,MICHEAL FUNERAL NEEDS,SHOP,,MORTUARY SERVICES,SHOP,PRIVATE,"KAMBALPETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000CF30BE312D5D61419CCBE486AA543D41
453,00-00-03-51,13,B.S.S.S.B.HIGH SCHOOL,SCHOOL,,AIDED HIGH SCHOOL,EDUCATION,AIDED,"GORAKSHNA PETA, RAJAHMUNDRY.",,,0104000020E61000000100000001010000004B5604595E5D61410AE4268374503D41
454,00-00-03-09,2,CENTRAL JAIL,OFFICE,,CENTRAL JAIL,,GOVERNMENT,"NARAYANAPURAM, RAJAHMUNDRY.",,,0104000020E61000000100000001010000002C3B46C0D15D61414995F7D5FC553D41
455,00-00-03-05,5,DR. ALLU RAMALINGAYYA HOMEO HOSPITAL AND COLLEGE,HOSPITAL,,HOMEO HOSPITAL,HEALTH,GOVERNMENT,"Y-JUNCTION, JAYAKRISHNAPURAM, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000046D5278665D6141A6240ADDA4553D41
456,00-00-03-37,30,GODAVARI DIAGNOSTIC LAB,HEALTH,,DIAGNOSTIC LAB,HEALTH,PRIVATE,"OPP. APSARA THEATRE, RAJAHMUNDRY.",,,0104000020E610000001000000010100000015D8FE50EB5C6141FB3193FF8C503D41
457,00-00-03-44,20,JAGATH GURU PETHAM,MATHAM,THE WORLD TEACHER TR,PEATHAM,RELIGIOUS,PRIVATE,"GOWTAMI GHAT, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000F48FAE60F25C6141D3C1F4A35C4A3D41
458,00-00-03-09,7,TOBACCO BOARD,OFFICE,MINISTRY OF COMMERCE GOVERNMENT OF INDIA,REGIONAL OFFICE,,GOVERNMENT,"DAVAIPETA, RAJAHMUNDRY.",0883-2442563,,0104000020E61000000100000001010000006C396DE13C5D61416E69E7D0DA523D41
459,00-00-03-37,30,ASWINI DENTAL CLINIC,HEALTH,Dr. B VIJAYA KUMAR,DENTIST,HEALTH,PRIVATE,"J.P.ROAD, RAJAHMUNDRY.",0883-2471950,,0104000020E61000000100000001010000000ECE2EF0D45C6141986212B1CA513D41
460,00-00-03-09,2,SANITARY INSPECTOR,OFFICE,"MUNCIPAL CORPORATION OF RAJAHMUNDRY, CIRCLE - I, WARD 2,9",SANITARY OFFICE,,GOVERNMENT,"NARAYANAPURAM, RAJAHMUNDRY.",,,0104000020E610000001000000010100000043A4D6FA0A5E61411627AF7978583D41
461,00-00-03-52-02,30,PRABHUTVA CHOWKA DHARALA DUKANAM,SHOP,SHOP NO: 36,RATION SHOP,SHOP,GOVERNMENT,"30-12-5, BESTHAVEEDHI, RAJAHMUNDRY.",,,0104000020E61000000100000001010000006D8BB4BFDB5C614154E269C2B4503D41
462,00-00-03-54,30,GEETHA APSARA THEATRE,THEATRE,,THEATRE,ENTERTAINMENT,PRIVATE,"CHURCHPETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000AE112BB3E75C614186562F7C89503D41
463,00-00-03-37,5,SRI SATYA NARAYANA DIAGNOSTICS,HEALTH,,DIAGNOSTIC LAB,HEALTH,PRIVATE,"KAMBALAPETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000DD6F56C51D5D6141457B056272543D41
464,00-00-03-52-01,38,AJANTHA MEDICALS,SHOP,,MEDICAL SHOP,HEALTH,PRIVATE,"SEETAMPETA, RAJAHMUNDRY",,,0104000020E61000000100000001010000009AC64FA9DF5C614172EA6D2096583D41
465,00-00-03-05,13,URBAN HEALTH CENTRE,HOSPITAL,"G.S.L.MEDICAL COLLEGE, GENERAL HOSPITAL, (G.S.L. EDUCATIONAL SOCIETY)",URBAN HEALTH CENTRE,HEALTH,GOVERNMENT,"AMBEDKAR NAGAR, RAJAHMUNDRY.",,,0104000020E61000000100000001010000001C45AFD3615D6141CFC5793F2C503D41
466,00-00-03-23,38,BANK OF INDIA,BANK,,BANK,FACILITY,PRIVATE,"SEETAMPETA, RAJAHMUNDRY.",,,0104000020E61000000100000001010000006FD35696DC5C6141DC5D499B1E583D41
467,00-00-03-52,1,LAKSHMI HYUNDAI,SHOP,,VEHICLE SHOW ROOM,SHOP,PRIVATE,"NH-5, RAJAHMUNDRY.",,,0104000020E61000000100000001010000008AA08B32965E6141823187453C593D41
468,00-00-03-52-01,11,SRI LAKSHMI MEDICAL & GENERAL STORES,SHOP,,MEDICAL SHOP,HEALTH,PRIVATE,"J.N.ROAD, RAJAHMUNDRY.",,,0104000020E610000001000000010100000052E4A87ADD5D6141A561E40FCC523D41
469,00-00-03-52-01,30,APPOLO PHARMACY,SHOP,,MEDICAL SHOP,HEALTH,PRIVATE,"OPP. APSARA THEATRE, RAJAHMUNDRY.",,,0104000020E61000000100000001010000005C15AB50EB5C6141134879ED97503D41
470,00-00-03-57,29,ANGANWADI KENDRAM,WOMEN & CHILD WELFARE,CODE: 134,I.C.D.S.PROJECT,EDUCATION,GOVERNMENT,"#43-17-30, KOTTAPETA-II, RAMALYAM, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000F5CF28370A5D6141E243069013503D41
471,00-00-02-05,28,SOMALAMMAVARI ALAYAM,TEMPLE,,SOMALAMMA TEMPLE,RELIGIOUS,PRIVATE,"MANGALAVARAPU PETA, RAJAHMUNDRY.",,,0104000020E610000001000000010100000020C63C96FE5C614111E4D2A8EE4E3D41
472,00-00-03-27,30,JANATHA CLINIC,CLINIC,Dr. P.H. KASIM KHAN,HOSPITAL,HEALTH,PRIVATE,"OPP. APSARA THEATRE, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000E85BE666EB5C6141C48A13AA94503D41
473,00-00-03-57,1,ANGANWADI KENDRAM,WOMEN & CHILD WELFARE,CODE: 108,I.C.D.S.PROJECT,EDUCATION,GOVERNMENT,"MUNICAIPAL PARK AREA, CHODESWARA NAGAR,RAJAHMUNDRY.",,,0104000020E610000001000000010100000076BA07804C5E61419E0B93FC29573D41
474,00-00-03-05,11,ABHAYA,HOSPITAL,,SUPER SPECIALITY HOSPITAL,HEALTH,PRIVATE,"J.N.ROAD, RAJAHMUNDRY.",,,0104000020E610000001000000010100000027B4B39EF25D6141054E0C06A1523D41
475,00-00-02-05,29,RAMALAYAM,TEMPLE,,RAMA TEMPLE,RELIGIOUS,PRIVATE,"KOTTAPETA, RAJAHMUNDY.",,,0104000020E610000001000000010100000039A17A19085D61418C41986CF34F3D41
477,00-00-03-57,29,ANGANWADI KENDRAM,WOMEN & CHILD WELFARE,CODE: 40,I.C.D.S.PROJECT,EDUCATION,GOVERNMENT,"GUBELAPETA, RAJAHMNUDRY.",,,0104000020E6100000010000000101000000DDB2EF52F95C61417632E86E1D503D41
478,00-00-03-05,7,PRAGATI HOSPITAL,HOSPITAL,DR.N.B.REDDY,HOSPITAL,HEALTH,PRIVATE,"#45-1-4, GORAKSHNA PETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000ADE79654395D61410DB4781C42513D41
479,00-00-03-06,38,VAMBAY HOUSES,HOUSES,,COLONIES,RESIDENTIAL AREA,GOVERNMENT,"ADEMMADIBBA, RAJAHMUNDRY.",,,0104000020E61000000100000001010000003581761CF95C6141A0DCDD0C7E563D41
480,00-00-03-06,38,VAMBAY HOUSES,HOUSES,,COLONIES,RESIDENTIAL AREA,GOVERNMENT,"ADEMMADIBBA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000E21B6290F85C614106F953FEA1563D41
481,00-00-03-51,38,HOLY ANGELS PUBLIC SCHOOL,SCHOOL,,EM SCHOOL,EDUCATION,PRIVATE,"NEAR AYAKAR BHAVAN, RAJAHMUNDRY.",,,0104000020E61000000100000001010000005CBD6CF6065D6141FBDBB9D47C563D41
482,00-00-03-05,38,ANNAPURNA HOSPITALS,HOSPITAL,,CHILDRENS HOSPITAL,HEALTH,PRIVATE,"SITAMPETA, RAJAHMUNDRY.",,,0104000020E610000001000000010100000056E598E0ED5C6141294980CBCA573D41
483,00-00-03-52-02,29,PRABHUTVA CHOWKA DHARALA DUKANAM,SHOP,SHOP NO: 87,RATION SHOP,SHOP,GOVERNMENT,"#42-9-6, KOTTAPETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000E727502E0F5D6141DA2E7E36CF4F3D41
484,00-00-03-38,5,KANDUKURI VEERESALINGAM STHREE SADANAM,HOSTEL,"(STATE HOME), GOVT OF AP, DEPARTMENT OF WOMEN DEVELOPMENT AND CHILD WELFARE",WOMEN HOSTEL,RESIDENTIAL AREA,GOVERNMENT,"ANANDAGARDENS, DANAVAIPETA, RAJAHMUNDRY.",0883-2431100,,0104000020E610000001000000010100000001380B726B5D6141975DB1994F543D41
485,00-00-03-51,5,SKVT HIGH SCHOOL,SCHOOL,FOUNDED & MANAGED BY HITAKARINI SAMAJAM,HIGH SCHOOL,EDUCATION,AIDED,"ANANDAGARDENS, DANAVAIPETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000A1B8ED4E435D61410A098D8CAE533D41
486,00-00-03-41,38,SEETAMPETA SAKHA GRANDHALAYAM,LIBRARY,,LIBRARY,EDUCATION,GOVERNMENT,"SEETAMPETA, RAJAHMUNDRY.",,,0104000020E61000000100000001010000007C6C8348E05C614146E2EE55BD583D41
487,00-00-03-12,5,POST OFFICE,OFFICE,GOVT COLLEGE (A),POST OFFICE,INFRASTRUCTURE,GOVERNMENT,"Y-JUNCTION, JAYAKRISHNAPURAM, RAJAHMUNDRY.",,,0104000020E61000000100000001010000001B61BEB37B5D614195D009B4F4563D41
488,00-00-02-05,26,SRI SAI MANDIRAM,TEMPLE,,SAI TEMPLE,RELIGIOUS,PRIVATE,"INNISPETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000BF6CCB89015D6141280777D6C34C3D41
489,00-00-03-57,2,ANGANWADI KENDRAM,WOMEN & CHILD WELFARE,CODE: 42,I.C.D.S.PROJECT,EDUCATION,GOVERNMENT,"#54-7-13,GOPALNAGAR-I, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000F746FB8DFF5D61418F5D012DC0543D41
490,00-00-03-51,11,SAMHITA,SCHOOL,,E M SCHOOL,EDUCATION,PRIVATE,"TILAK ROAD, RAJAHMUNDRY.","0883-2431234, 2432345",,0104000020E61000000100000001010000001CD63348FD5D6141FEDE216806513D41
491,00-00-03-51,2,ST.THOMOS TALENT SCHOOL,SCHOOL,,E M PRIMARY SCHOOL,EDUCATION,PRIVATE,"VENKATARAMNAGAR FIRST STREET, RAJAHMUNDRY.",,,0104000020E61000000100000001010000001C7E5A92165E6141E832172FBD563D41
492,00-00-02-05,6,SITA RAMA MANDIRAM,TEMPLE,,RAMA TEMPLE,RELIGIOUS,PRIVATE,"ANNAPURNAMMA PETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000E2F2A1C0225D61410C38F277E2503D41
493,00-00-03-12,19,ALCOT GARDENS SUB POSTOFFICE,OFFICE,,POST OFFICE,INFRASTRUCTURE,GOVERNMENT,"ALCOT GARDENS, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000359B97564D5D6141F0DF726BAA473D41
494,00-00-03-05,7,PRADEEP DIABATIS CENTRE,HOSPITAL,"DR.C.PRADEEP(MBBS, FRSH)",DIABATIS CENTRE,HEALTH,PRIVATE,"BYEPASS ROAD, DANAVAIPETA, RAJAHMUNDRY.",0883-2465165,,0104000020E61000000100000001010000009F664B7E2F5D6141ABED4AC3D7513D41
495,00-00-03-33,2,NKV SMT.ADDEPALLI VIVEKANANDADEVI GOLDEN JUBLE MEMORIAL HALL,FUNCTION HALL,,FUNCTION HALL,ENTERTAINMENT,PRIVATE,"SELANAGAR, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000C2F61FA3E65D614181AFB96BAF533D41
496,00-00-02-05,4,SITARAMACHANDRA SWAMY & SHIRIDI SAIBABA MANDIRAM,TEMPLE,,TEMPLE,RELIGIOUS,PRIVATE,"RAJENDRANAGAR, RAJAHMUNDRY.",,,0104000020E61000000100000001010000006E0603D0A65D61417E70C30041543D41
497,00-00-03-49-01,19,SATYA SRINIVASA RESTURANT & BAR,RESTAURANT,RESTAURANT & BAR,RESTURANT & BAR,HOSPITALITY,PRIVATE,"OPP. RAILWAY STATION, ALCOT GARDENS, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000903AD29B575D61415B1B1925C8473D41
498,00-00-02-05,6,SRI UMARAMALINGAESWARA SWAMY DEVASTANAM,TEMPLE,ENDOWMENT,SHIVA TEMPLE,RELIGIOUS,GOVERNMENT,"JAMPETA, RAJAHMUNDRY.",,,0104000020E610000001000000010100000043DAB7EC165D614125E0EDD5F4523D41
499,00-00-03-57,4,ANGANWADI KENDRAM,WOMEN & CHILD WELFARE,CODE: 30,I.C.D.S.PROJECT,EDUCATION,GOVERNMENT,"#51-2-86,RAJENDRANAGAR-V, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000F7507365B65D6141E3390FC7CD543D41
500,00-00-02-05,2,SRI GANAPATHI ALAYAM,TEMPLE,,TEMPLE,RELIGIOUS,PRIVATE,"VENKATARAMNAGAR FIRST STREET, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000B003AB28225E6141A45CA417D3563D41
501,00-00-02-05,4,SRI KANAKADURGAAMMAVARI ALAYAM,TEMPLE,,DURGA TEMPLE,RELIGIOUS,PRIVATE,"RAJENDRANAGAR, RAJAHMUNDRY.",,,0104000020E610000001000000010100000071209A5D845D6141EDB843358E543D41
502,00-00-03-09,5,APSEB EMPLOYES CREDIT SOCIETY,OFFICE,,SOCIETY,SOCIAL ORGANIZATION,PRIVATE,"26-8-2, KAMBALAPETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000CEA63DD82E5D61418F9E056F92543D41
503,00-00-03-51,5,SCHADE GIRLS ELEMENTARY SCHOOL,SCHOOL,,ELEMENTRY SCHOOL,EDUCATION,AIDED,"JAYAKRISHNAPURAM, RAJAHMUNDRY.",,,0104000020E61000000100000001010000005B03513F395D6141A1187BFAF3543D41
504,00-00-03-55,5,SULABH COMPLEX,TOILETS & BATH ROOM,MANAGED BY SULABH INTERNATIONAL,TOILETS,FACILITY,PRIVATE,"KAMBALATANK, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000D38803C62A5D6141E3D9A553CD543D41
505,00-00-03-05-01,4,SRI POORNA PRIMARY HOSPITAL,HOSPITAL,,PRIMARY HOSPITAL,HEALTH,PRIVATE,"RAJENDRANAGAR, RAJAHMUNDRY.",,,0104000020E610000001000000010100000064B2301FC45D6141048E90243E543D41
506,00-00-03-57,5,ANGANWADI KENDRAM,WOMEN & CHILD WELFARE,CODE: 31,I.C.D.S.PROJECT,EDUCATION,GOVERNMENT,"BY-PASS ROAD, KAMBALAPETA, RAJAHMUNDRY.",,,0104000020E610000001000000010100000000963DD9255D614164FA5CD0CA533D41
507,00-00-03-29,5,DR. B R AMBEDKAR OPEN UNIVERSITY,COACHING CENTRE,,OPEN EDUCATION,EDUCATION,GOVERNMENT,"Y-JUNCTION, JAYAKRISHNAPURAM, RAJAHMUNDRY.",,,0104000020E610000001000000010100000079D2E1F04F5D614125534A9653563D41
508,00-00-03-57,5,ANGANWADI KENDRAM,WOMEN & CHILD WELFARE,CODE: 101,I.C.D.S.PROJECT,EDUCATION,GOVERNMENT,"27-7-28, JAMPETA, RAJAHMUNDRY.",,,0104000020E61000000100000001010000000325F695155D61416F6CDEF861533D41
509,00-00-03-10,5,BPCL PETROL BUNK,PETROL PUMP,,PETROL BUNK,FACILITY,PRIVATE,"KAMBALACHERUVU, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000E72192AB215D61410255C36DA2543D41
510,00-00-03-33,5,ANAM ROTARY HALL,FUNCTION HALL,,FUNCTION HALL,ENTERTAINMENT,PRIVATE,"Y-JUNCTION, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000DA5EC0A5455D614162EED22FE6543D41
511,00-00-03-51,11,ROOTS THE SCHOOL,SCHOOL,,E M SCHOOL,EDUCATION,PRIVATE,"#86-1-4/2, J.N.ROAD, RAJAHMUNDRY.",0883-2469692,,0104000020E6100000010000000101000000BBF3690F0D5E6141C84F6AFB89523D41
512,00-00-03-52-01,26,MED PLUS,SHOP,,MEDICAL SHOP,HEALTH,PRIVATE,"STADIUM ROAD, RAJAHMUNDRY.",,,0104000020E61000000100000001010000002108C1CE0A5D614135F1C6CDBB4D3D41
586,00-00-03-55,29,NADI JALA KALUSYA NIVARANA PADHKAM,TOILETS & BATH ROOM,,SULABH COMPLEX,FACILITY,GOVERNMENT,"NEAR STADIUM, RAJAHMUNDRY.",,,0104000020E61000000100000001010000007076B8C9185D6141DB890108AE4E3D41
513,00-00-03-31,16,SRI GOWRI (GAVARA) SEVA SAMGHAM COMMUNITY HALL,COMMUNITY HALL,,GAVARA COMMUNITY HALL,ENTERTAINMENT,PRIVATE,"SHYMALAMBA NAGAR, BALAJI PETA ROAD (AVA), RAJAHMUNDRY.",9248399633,,0104000020E61000000100000001010000004DD5D6015F5D61419CF07F9B134C3D41
514,00-00-03-30,40,MATRU SREE JUNIOR COLLEGE,COLLEGE,,COLLEGE,EDUCATION,PRIVATE,"SITAM PETA, RAJAHMUNDRY.",,,0104000020E61000000100000001010000005178B01DD25C6141E7F0746D78573D41
515,00-00-02-05,16,SRI VENKATA RAMA LINGESWARA SWAMY DEVALAYAM,TEMPLE,,SHIVA TEMPLE,RELIGIOUS,PRIVATE,"RAILWAY QUARTERS, RAJAHMUNDRY.",,,0104000020E61000000100000001010000004D55CE8EB85D6141DA1265FCE2443D41
516,00-00-02-05,20,SRI VASAVI VISWARUPA SRI CHAKRA MAHAL,TEMPLE,,VASAVI DEVI TEMPLE,RELIGIOUS,PRIVATE,"GOWTAMI GHAT, RAJAHMUNDRY.",,,0104000020E61000000100000001010000003F63F081F55C61419F14AEEC6B4A3D41
517,00-00-03-05,11,DAKSHAYANI,HOSPITAL,,MULTISPECIAL HOSPITAL,HEALTH,PRIVATE,"#79-16-13, OMKAR STREET, TILAK ROAD, RAJAHMUNDRY.","9248467686, 9032035352",,0104000020E6100000010000000101000000084063C4F75D6141C992340C84513D41
518,00-00-03-22,16,INDIAN OVERSEAS BANK ATM,ATM,,IOB ATM,FACILITY,GOVERNMENT,"SRI PURNA CHANDRA REDDY NILAYAM, BALAJI NAGAR, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000C449734EED5D6141C45C92CFC5443D41
519,00-00-03-41,46,"COMMUNITY HALL, LIBRARY",LIBRARY,,LIBRARY,EDUCATION,GOVERNMENT,"BESIDE SRK NAGAR PARK, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000A222476E425D614123EB3080F75E3D41
520,00-00-02-05,45,KALYANI SAHITHA SOMALINGA VEERASWARA SWAMY ALAYAM,TEMPLE,,TEMPLE,RELIGIOUS,PRIVATE,"QUARY MARKET JUNCTION, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000C8A29F70925D6141D6A6EA28F05D3D41
521,00-00-03-52-01,45,RAJANDRA MEDICAL AND GENERAL STORES,SHOP,,MEDICAL SHOP,HEALTH,PRIVATE,"QUERRY MARKET JUNCTION, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000A234E37D945D614143AC26E1B25D3D41
522,00-00-03-51,45,NIVYA E M MODEL HIGH SCHOOL,SCHOOL,,HIGH SCHOOL,EDUCATION,GOVERNMENT,"APPM TOWN SHIP, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000765300090A5D6141580AE0A2F35D3D41
523,00-00-03-09,41,THE ANDHRA PAPERMILL WORKERS UNION,OFFICE,,WORKERS UNION,SOCIAL ORGANIZATION,PRIVATE,"OPP. PAPERMILL, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000FB28B584EB5C6141E799BE19A15A3D41
